"","participant_id","age","age_cat","trial_type","trial_id","obs_num","zhr_pt"
"1",8002,11.63039,12,"lullaby",1,1,-0.75566787
"2",8002,11.63039,12,"lullaby",1,2,0.85281169
"3",8002,11.63039,12,"lullaby",1,3,-1.752921
"4",8002,11.63039,12,"lullaby",1,4,1.6514894
"5",8002,11.63039,12,"lullaby",1,5,-0.75566787
"6",8002,11.63039,12,"lullaby",1,6,-0.47073388
"7",8002,11.63039,12,"lullaby",1,7,0.15092129
"8",8002,11.63039,12,"lullaby",1,8,0.15092129
"9",8002,11.63039,12,"lullaby",1,9,0.4908995
"10",8002,11.63039,12,"lullaby",1,10,0.4908995
"11",8002,11.63039,12,"lullaby",1,11,-1.0251833
"12",8002,11.63039,12,"lullaby",1,12,-1.752921
"13",8002,11.63039,12,"lullaby",1,13,-1.2805301
"14",8002,11.63039,12,"lullaby",1,14,-1.2805301
"15",8002,11.63039,12,"lullaby",1,15,-1.2805301
"16",8002,11.63039,12,"lullaby",1,16,-1.5227816
"17",8002,11.63039,12,"lullaby",1,17,-0.75566787
"18",8002,11.63039,12,"lullaby",1,18,-2.3791001
"19",8002,11.63039,12,"lullaby",1,19,0.85281169
"20",8002,11.63039,12,"lullaby",1,20,1.238852
"21",8002,11.63039,12,"lullaby",1,21,-0.75566787
"22",8002,11.63039,12,"lullaby",1,22,0.15092129
"23",8003,8.8049278,9,"non-lullaby",1,1,-0.74953985
"24",8003,8.8049278,9,"non-lullaby",1,2,-0.74953985
"25",8003,8.8049278,9,"non-lullaby",1,3,0.34071514
"26",8003,8.8049278,9,"non-lullaby",1,4,2.2680907
"27",8003,8.8049278,9,"non-lullaby",1,5,-0.74953985
"28",8003,8.8049278,9,"non-lullaby",1,6,-0.22144751
"29",8003,8.8049278,9,"non-lullaby",1,7,0.34071514
"30",8003,8.8049278,9,"non-lullaby",1,8,0.94035637
"31",8003,8.8049278,9,"non-lullaby",1,9,1.5813109
"32",8003,8.8049278,9,"non-lullaby",1,10,0.94035637
"33",8003,8.8049278,9,"non-lullaby",1,11,3.8000896
"34",8003,8.8049278,9,"non-lullaby",1,12,2.2680907
"35",8003,8.8049278,9,"non-lullaby",1,13,-0.74953985
"36",8003,8.8049278,9,"non-lullaby",1,14,3.0057461
"37",8003,8.8049278,9,"non-lullaby",1,15,0.94035637
"38",8003,8.8049278,9,"non-lullaby",1,16,0.34071514
"39",8003,8.8049278,9,"non-lullaby",1,17,3.0057461
"40",8003,8.8049278,9,"non-lullaby",1,18,2.2680907
"41",8003,8.8049278,9,"non-lullaby",1,19,-2.1577559
"42",8004,8.3778238,8,"lullaby",1,1,1.3559142
"43",8004,8.3778238,8,"lullaby",1,2,0.62252265
"44",8004,8.3778238,8,"lullaby",1,3,-0.59977698
"45",8004,8.3778238,8,"lullaby",1,4,-0.59977698
"46",8004,8.3778238,8,"lullaby",1,5,0.28916299
"47",8004,8.3778238,8,"lullaby",1,6,0.62252265
